"","GEOID","location","name","estimate","moe","label","concept","geography"
"105","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_021",36,28,"Estimate!!Total:!!Worked from home","MEANS OF TRANSPORTATION TO WORK","block group"
"106","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_001",556,213,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"107","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_002",442,202,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"108","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_003",375,196,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"109","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_004",67,69,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"110","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_005",67,69,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"111","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"112","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"113","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_008",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"114","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"115","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_010",35,58,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"116","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_011",35,58,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"117","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_012",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
"118","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"119","295101013001","Block Group 1; Census Tract 1013; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
